country,GHI_mean,GHI_median,GHI_std,DNI_mean,DNI_median,DNI_std,DHI_mean,DHI_median,DHI_std
Benin,240.55945243531204,1.8,331.1313272751968,167.18751598173517,-0.1,261.7105006198363,115.3589608066971,1.6,158.69107385933174
SierraLeone,201.95751522070015,0.3,298.4951504289877,116.37633694824963,-0.1,218.65265859128917,113.72057058599695,-0.1,158.94603196076702
Togo,230.55503976407917,2.1,322.5323466115281,151.25846898782342,0.0,250.95696165736808,116.44435235920852,2.5,156.52071366117383
